ID (read-only),Parent ID (read-only),Date (UTC),Type,Tag,From Wallet (read-only),From Wallet ID,From Amount,From Currency,To Wallet (read-only),To Wallet ID,To Amount,To Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Fee Worth Amount,Fee Worth Currency,Net Value (read-only),Fee Value (read-only),Value Currency (read-only),Deleted,From Source (read-only),To Source (read-only),Negative Balances (read-only),Missing Rates (read-only),Missing Cost Basis (read-only),Synced To Accounting At (UTC read-only),TxSrc,TxDest,TxHash,Description
6C510743636F277A183318F758FB08DA,,2020-07-31 01:15:31,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.174433,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,0.0243085084,0.0,USD;10,false,api,,false,false,,,addr1q96hakmf3mwrg6z2y63w96j7w80mncnkf4jq7nuzt4dr5nsm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9qnkws6m,,93bd57a42d03d41419e51d8d960d8827cde24293d3a17d5511c3e09752e3039a,
A136456A6C43893783611D2BFED77D18,,2021-08-16 00:36:27,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,5.175885,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,11.2916574561,0.0,USD;10,false,api,,false,false,,,addr1qx44jgs0hrdafd2t7m7yt98v6h6rrx3hle4qtxz2rfjekpcm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9quvykl6,,3c18da5cd8ad79c691ef5ca14e13d82dc009711330691fd275136096e8a2f9a8,
3A4113EFDB8A151065326C68F083DAD3,,2021-08-16 01:01:39,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,3000.169637,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,6495.4167969057,0.0,USD;10,false,api,,false,false,,,addr1qyc3jlhgnxumy70hd85c3uljzgz8jfkuxe6xgqq8f9aqmpsm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9q6skz9f,,7c98f072e86d3df622d799c12ce9ca2ccf338e2ea593cf27d565282f2e5414f2,
F014393B4658022A13A6CF794D6685D4,,2023-05-08 03:49:35,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,0.173861,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,0.0646116232,0.0,USD;10,false,api,,false,false,,,addr1q96hakmf3mwrg6z2y63w96j7w80mncnkf4jq7nuzt4dr5nsm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9qnkws6m,,af7eb8cc98b255241b3e91c8a34096db9d6ea46027b46c26b3357e1b585846e1,
9D36267BEB779E2D01F7C91211E3DA7B,,2024-03-19 13:25:16,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,33000.224021,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,20369.5787278551,0.0,USD;10,false,api,,false,false,,,addr1qx44jgs0hrdafd2t7m7yt98v6h6rrx3hle4qtxz2rfjekpcm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9quvykl6,,1c38644e50bacff44bd3a5e7a680e6363b622debedc9cab1512c7f0ccabf5814,
78B04C772744A5E854E58472EC2104C0,,2024-03-19 13:29:35,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,15000.169373,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,9258.9411144617,0.0,USD;10,false,api,,false,false,,,addr1qxne07e0u4kur2zx4m8np0v96cpxadumtz6cr4eqlv9y4agm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9qsm9tzv,,eca9e9b929f0f3e104fb102abd2105fba0253d06c36d8eb0f0497f873aa4d8a2,
1DF36B3FE23D2A5AC53D711A89170932,,2024-03-19 13:31:18,withdrawal,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,15000.168141,ADA;1865,,,0.0,,0.0,,0.0,,0.0,,9258.9403540026,0.0,USD;10,false,api,,false,false,,,addr1q9y00vz855urx7u6pdawzg39xnzw8ctrwvxmnr3hlvz2z5cm9ke4x8fml5vlnv3ju5jzwhpc8j82ymgw8mlhz6wk2w9qcekpf2,,b464525296df093e4b8fa6fb36a0cf244ae18cc08c9672a1bc4223e0063439b7,
F76B69946DACCEBD97DB4ACDF0F32AFC,,2020-07-31 00:36:51,deposit,,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,19999.793667,ADA;1865,0.0,,0.0,,0.0,,2810.6836028619,0.0,USD;10,false,,api,false,false,,,,,010e3514335cfe9a0d7facb0590e06fbcb93f980f1fe55ada1dab0a3c73d24a4,
190F1B495A529DB76C3DE44EB7CB9E4D,,2021-03-05 02:42:16,deposit,,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,15932.170125,ADA;1865,0.0,,0.0,,0.0,,16819.3254557563,0.0,USD;10,false,,api,false,false,,,,,2b740a13e51543b5110be38057e453219b863b6a6b31a327b514c05cf9f5b60c,
C6102B2DC3DEF0E884EA58E9F3A131DC,,2023-04-09 03:44:33,deposit,,,,0.0,,Cardano (ADA);cardano,34F925930140F54859509ACC8CEE7F9B,18571.868392,ADA;1865,0.0,,0.0,,0.0,,7214.5925924543,0.0,USD;10,false,,api,false,false,,,,,7599a671990237f6875abb2aa5e759a936d12f295bea257977f5aa1619f6871b,
