Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x5a120cd2a5eea9f754c81d05470aae8958a8e252d2d4749a7b850e27b6452572","Success","Bridge Asset","23142013","2025-06-16 02:03:34","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0x2a3DD3EB832aF982ec71669E178424b10Dca2EDe","Polygon Hermez: Bridge","0.52979 ETH","$1,291.16","0.00029297"
"0x624518b9ec214cc3929043591f9ee34cd9046a772e5161f67d12791e20230d27","Success","Withdraw","23141983","2025-06-16 02:01:40","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0x4F9A0e7FD2Bf6067db6994CF12E4495Df938E6e9","Polygon Hermez: WETH Token","0 ETH","$0.00","0.0000002"
"0x9bb28a750fcd48840a888adb82db3cabe9b8cf0202335505b801698fca1ed532","Success","Swap","23141663","2025-06-16 01:43:36","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xBA12222222228d8Ba445958a75a0704d566BF2C8","","0 ETH","$0.00","0.00000098"
"0x1ee6e325d2d9aeeb4f5bfea402ae1a646bad1e49000926aeb2dc3a3bd7ffeaeb","Success","Approve","23141657","2025-06-16 01:43:15","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xA8CE8aee21bC2A48a5EF670afCc9274C7bbbC035","Polygon Hermez: Legacy USDC Token","0 ETH","$0.00","0.00000046"
"0xfcf21a79c8a3763c91c5da48d4e80dfa1519054a53a68afd4cb4350cf459aeef","Success","Swap","23141624","2025-06-16 01:41:23","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xBA12222222228d8Ba445958a75a0704d566BF2C8","","0 ETH","$0.00","0.00000078"
"0xdbb9464ded790c4107763ed008719070476fb8ce5c41491bf17c4f789b9eb752","Success","Approve","23141587","2025-06-16 01:39:17","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xa2036f0538221a77A3937F1379699f44945018d0","Polygon Hermez: Old MATIC Token","0 ETH","$0.00","0.00000046"
"0x7abe7c89bc03b19b2bf29cb82665c3f0ce2f7179355248e7a47088730e52e90f","Success","Withdraw","23141546","2025-06-16 01:37:02","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0x4F9A0e7FD2Bf6067db6994CF12E4495Df938E6e9","Polygon Hermez: WETH Token","0 ETH","$0.00","0.0000002"
"0x3aa1f369864b40b840a5bf6e6510b5afd1f8f3fb4e0b1ee7e98500d17746ba58","Success","Exit Pool","21288880","2025-04-06 21:08:34","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xBA12222222228d8Ba445958a75a0704d566BF2C8","","0 ETH","$0.00","0.00003229"
"0x166eef7901012207305e255a05a5376058b3d68fa649c188d2326cb7156449fb","Success","Multicall","21288858","2025-04-06 21:07:22","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0x8e620FfCa2580ed87241D7e10F85EE75d0a906F5","","0 ETH","$0.00","0.00006521"
"0xdb44c635c0592883d83ca5578b50813c286341cb5af5fe545dfbd20bd0a7bf40","Success","Exit Pool","21288795","2025-04-06 21:03:58","0x62810730B8fe56d13c5627a96aF027782122Eda1","","0xBA12222222228d8Ba445958a75a0704d566BF2C8","","0 ETH","$0.00","0.00004319"
