Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Trade ID,Imported From,Add Date,Date
Deposit,100.0,USD,0.0,,0.0,USD,Binance US,53645554,,2125162804,Binance US CSV,2025-06-19,06-05-2023 19:11:00
Swap,0.29346406,BNB,100.12,USD,0.01173857,BNB,Binance US,53645554,,1908417,Binance US CSV,2025-06-19,06-05-2023 19:12:00
Withdrawal,0.0,,0.0245,BNB,0.0005,BNB,Binance US,53645554,,2130814872,Binance US CSV,2025-06-19,14-05-2023 19:32:00
Withdrawal,0.0,,0.26796408,BNB,0.0005,BNB,Binance US,53645554,,2130958803,Binance US CSV,2025-06-19,14-05-2023 23:24:00
Deposit,315.0,USDT,0.0,,0.0,,Binance US,53645554,,2137940980,Binance US CSV,2025-06-19,27-05-2023 13:24:00
Deposit,250.0,USD,0.0,,0.0,USD,Binance US,53645554,,2145366594,Binance US CSV,2025-06-19,07-06-2023 14:23:00
Trade,220.5,NEAR,308.4795,USDT,0.882,NEAR,Binance US,53645554,,2145896924,Binance US CSV,2025-06-19,07-06-2023 19:12:00
Trade,4.6,NEAR,6.4354,USDT,0.0184,NEAR,Binance US,53645554,,2145914040,Binance US CSV,2025-06-19,07-06-2023 19:39:00
Withdrawal,0.0,,224.1076,NEAR,0.092,NEAR,Binance US,53645554,,2146047519,Binance US CSV,2025-06-19,08-06-2023 00:00:00
Trade,1971.0,GALA,51.246,USD,7.884,GALA,Binance US,53645554,,2146231040,Binance US CSV,2025-06-19,08-06-2023 02:54:00
Trade,7644.0,GALA,198.744,USD,30.576,GALA,Binance US,53645554,,2146225668,Binance US CSV,2025-06-19,08-06-2023 02:56:00
Deposit,62.49,NEAR,0.0,,0.0,,Binance US,53645554,,2152109598,Binance US CSV,2025-06-19,19-06-2023 00:51:00
Withdrawal,0.0,,9477.057,GALA,100.46,GALA,Binance US,53645554,,2152126218,Binance US CSV,2025-06-19,19-06-2023 01:06:00
Deposit,187.49,NEAR,0.0,,0.0,,Binance US,53645554,,2152130492,Binance US CSV,2025-06-19,19-06-2023 01:07:00
Withdrawal,0.0,,14.902,NEAR,0.098,NEAR,Binance US,53645554,,2152214499,Binance US CSV,2025-06-19,19-06-2023 13:52:00
Withdrawal,0.0,,9.901,NEAR,0.099,NEAR,Binance US,53645554,,2152473191,Binance US CSV,2025-06-19,20-06-2023 18:28:00
