Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,100.0,USD,0.0,,0.0,USD,Binance US,53645554,,06-05-2023 19:11:00
Trade,0.29346406,BNB,100.12,USD,0.01173857,BNB,Binance US,53645554,,06-05-2023 19:12:00
Withdrawal,0.0,,0.0245,BNB,0.0005,BNB,Binance US,53645554,,14-05-2023 19:32:00
Withdrawal,0.0,,0.26796408,BNB,0.0005,BNB,Binance US,53645554,,14-05-2023 23:24:00
Deposit,315.0,USDT,0.0,,0.0,,Binance US,53645554,,27-05-2023 13:24:00
Deposit,250.0,USD,0.0,,0.0,USD,Binance US,53645554,,07-06-2023 14:23:00
Trade,220.5,NEAR,308.4795,USDT,0.882,NEAR,Binance US,53645554,,07-06-2023 19:12:00
Trade,4.6,NEAR,6.4354,USDT,0.0184,NEAR,Binance US,53645554,,07-06-2023 19:39:00
Withdrawal,0.0,,224.1076,NEAR,0.092,NEAR,Binance US,53645554,,08-06-2023 00:00:00
Trade,1971.0,GALA,51.246,USD,7.884,GALA,Binance US,53645554,,08-06-2023 02:54:00
Trade,7644.0,GALA,198.744,USD,30.576,GALA,Binance US,53645554,,08-06-2023 02:56:00
Deposit,62.49,NEAR,0.0,,0.0,,Binance US,53645554,,19-06-2023 00:51:00
Withdrawal,0.0,,9477.057,GALA,100.46,GALA,Binance US,53645554,,19-06-2023 01:06:00
Deposit,187.49,NEAR,0.0,,0.0,,Binance US,53645554,,19-06-2023 01:07:00
Withdrawal,0.0,,14.902,NEAR,0.098,NEAR,Binance US,53645554,,19-06-2023 13:52:00
Withdrawal,0.0,,9.901,NEAR,0.099,NEAR,Binance US,53645554,,20-06-2023 18:28:00
Withdrawal,0.0,,224.881,NEAR,0.099,NEAR,Binance US,53645554,,20-06-2023 18:30:00
Deposit,9.99,NEAR,0.0,,0.0,,Binance US,53645554,,09-08-2023 22:56:00
Withdrawal,0.0,,9.901,NEAR,0.089,NEAR,Binance US,53645554,,09-08-2023 23:02:00
Deposit,229.99,NEAR,0.0,,0.0,,Binance US,53645554,,09-08-2023 23:02:00
Deposit,4.99,NEAR,0.0,,0.0,,Binance US,53645554,,09-08-2023 23:09:00
Withdrawal,0.0,,234.891,NEAR,0.089,NEAR,Binance US,53645554,,09-08-2023 23:12:00
Deposit,396.39931,USDT,0.0,,0.0,,Binance US,53645554,,17-08-2023 01:42:00
Trade,336.0,NEAR,396.48,USDT,1.344,NEAR,Binance US,53645554,,17-08-2023 16:05:00
Withdrawal,0.0,,334.559,NEAR,0.097,NEAR,Binance US,53645554,,18-08-2023 02:46:00
Deposit,200.0,USDT,0.0,,0.0,,Binance US,53645554,,23-08-2023 01:08:00
Deposit,574.0608,USDT,0.0,,0.0,,Binance US,53645554,,26-08-2023 19:36:00
Trade,2275.0,IOTA,343.07,USDT,9.1,IOTA,Binance US,53645554,,26-08-2023 20:01:00
Trade,2680.0,IOTA,404.144,USDT,10.72,IOTA,Binance US,53645554,,26-08-2023 20:01:00
Trade,178.0,IOTA,26.8424,USDT,0.712,IOTA,Binance US,53645554,,26-08-2023 20:01:00
Withdrawal,0.0,,98.921616,IOTA,1.078384,IOTA,Binance US,53645554,,26-08-2023 20:26:00
Withdrawal,0.0,,5011.389616,IOTA,1.078384,IOTA,Binance US,53645554,,26-08-2023 20:26:00
Deposit,10.0,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 18:52:00
Deposit,80.0,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 19:02:00
Trade,18.126,USDT,90.0,FTM,0.072504,USDT,Binance US,53645554,,03-09-2023 19:17:00
Deposit,10.0,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 19:22:00
Deposit,800.0,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 19:25:00
Deposit,4002.005923,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 19:34:00
Trade,969.1368,USDT,4812.0,FTM,3.8765472,USDT,Binance US,53645554,,03-09-2023 19:45:00
Deposit,1000.0,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 20:02:00
Withdrawal,0.0,,973.430356,USDT,9.892644,USDT,Binance US,53645554,,03-09-2023 20:04:00
Deposit,23869.5748,FTM,0.0,,0.0,,Binance US,53645554,,03-09-2023 20:08:00
Trade,79.3516,USDT,394.0,FTM,0.3174064,USDT,Binance US,53645554,,03-09-2023 20:11:00
Trade,400.8,USDT,2000.0,FTM,2.4048,USDT,Binance US,53645554,,03-09-2023 20:30:00
Trade,500.75,USDT,2500.0,FTM,2.003,USDT,Binance US,53645554,,03-09-2023 20:32:00
Trade,600.0988,USDT,2996.0,FTM,2.4003952,USDT,Binance US,53645554,,03-09-2023 20:33:00
Trade,144.216,USDT,720.0,FTM,0.576864,USDT,Binance US,53645554,,03-09-2023 20:35:00
Trade,150.225,USDT,750.0,FTM,0.6009,USDT,Binance US,53645554,,03-09-2023 20:35:00
Trade,142.4133,USDT,711.0,FTM,0.5696532,USDT,Binance US,53645554,,03-09-2023 20:35:00
Trade,159.2385,USDT,795.0,FTM,0.636954,USDT,Binance US,53645554,,03-09-2023 20:38:00
Trade,169.0532,USDT,844.0,FTM,0.6762128,USDT,Binance US,53645554,,03-09-2023 20:38:00
Trade,51.0765,USDT,255.0,FTM,0.204306,USDT,Binance US,53645554,,03-09-2023 20:38:00
Trade,194.4475,USDT,965.0,FTM,0.77779,USDT,Binance US,53645554,,03-09-2023 20:51:00
Trade,150.722,USDT,748.0,FTM,0.602888,USDT,Binance US,53645554,,03-09-2023 20:51:00
Trade,2.418,USDT,12.0,FTM,0.009672,USDT,Binance US,53645554,,03-09-2023 20:51:00
Trade,27.2544,USDT,136.0,FTM,0.1635264,USDT,Binance US,53645554,,03-09-2023 21:13:00
Trade,27.2408,USDT,136.0,FTM,0.1089632,USDT,Binance US,53645554,,03-09-2023 21:13:00
Trade,457.2849,USDT,2283.0,FTM,1.8291396,USDT,Binance US,53645554,,03-09-2023 21:13:00
Trade,162.243,USDT,810.0,FTM,0.648972,USDT,Binance US,53645554,,03-09-2023 21:14:00
Trade,442.2624,USDT,2208.0,FTM,1.7690496,USDT,Binance US,53645554,,03-09-2023 21:14:00
Trade,584.166,USDT,2915.0,FTM,3.504996,USDT,Binance US,53645554,,03-09-2023 21:17:00
Withdrawal,0.0,,4415.563356,USDT,9.892644,USDT,Binance US,53645554,,03-09-2023 23:04:00
Trade,269.6038,USDT,1346.0,FTM,1.6176228,USDT,Binance US,53645554,,08-09-2023 15:58:00
Trade,131.9977,USDT,659.0,FTM,0.7919862,USDT,Binance US,53645554,,08-09-2023 15:58:00
Trade,20.02,USDT,100.0,FTM,0.12012,USDT,Binance US,53645554,,08-09-2023 15:58:00
Trade,117.3172,USDT,586.0,FTM,0.7039032,USDT,Binance US,53645554,,08-09-2023 15:58:00
Trade,238.3,NEAR,268.3258,USDT,1.4298,NEAR,Binance US,53645554,,19-09-2023 13:21:00
Trade,237.8,NEAR,267.2872,USDT,1.4268,NEAR,Binance US,53645554,,19-09-2023 13:22:00
Withdrawal,0.0,,468.6970014,NEAR,4.54639857,NEAR,Binance US,53645554,,19-09-2023 13:30:00
Deposit,271.253877,USDT,0.0,,0.0,,Binance US,53645554,,02-10-2023 00:50:00
Deposit,1164.211653,USDT,0.0,,0.0,,Binance US,53645554,,02-10-2023 01:02:00
Deposit,175.0,USDT,0.0,,0.0,,Binance US,53645554,,02-10-2023 01:12:00
Trade,474.0,IOTA,73.707,USDT,1.896,IOTA,Binance US,53645554,,02-10-2023 02:48:00
Trade,24.0,IOTA,3.732,USDT,0.096,IOTA,Binance US,53645554,,02-10-2023 04:18:00
Trade,111.0,IOTA,17.2605,USDT,0.444,IOTA,Binance US,53645554,,02-10-2023 07:22:00
Trade,2211.0,IOTA,346.0215,USDT,8.844,IOTA,Binance US,53645554,,02-10-2023 12:18:00
Trade,2369.0,IOTA,370.7485,USDT,9.476,IOTA,Binance US,53645554,,02-10-2023 12:19:00
Trade,17.0,IOTA,2.6605,USDT,0.068,IOTA,Binance US,53645554,,02-10-2023 12:19:00
Trade,1360.0,IOTA,212.84,USDT,5.44,IOTA,Binance US,53645554,,02-10-2023 12:19:00
Trade,1864.0,IOTA,291.716,USDT,7.456,IOTA,Binance US,53645554,,02-10-2023 12:28:00
Trade,1864.0,IOTA,291.716,USDT,7.456,IOTA,Binance US,53645554,,02-10-2023 12:28:00
Withdrawal,0.0,,8.773221,IOTA,1.226779,IOTA,Binance US,53645554,,02-10-2023 12:48:00
Withdrawal,0.0,,8.773221,IOTA,1.226779,IOTA,Binance US,53645554,,02-10-2023 14:24:00
Withdrawal,0.0,,10231.59722,IOTA,1.226779,IOTA,Binance US,53645554,,02-10-2023 14:28:00
Deposit,712.929477,USDT,0.0,,0.0,,Binance US,53645554,,13-10-2023 01:56:00
Trade,2147.0,IOTA,301.2241,USDT,8.588,IOTA,Binance US,53645554,,13-10-2023 01:59:00
Trade,2935.0,IOTA,411.7805,USDT,11.74,IOTA,Binance US,53645554,,13-10-2023 01:59:00
Withdrawal,0.0,,98.817165,IOTA,1.182835,IOTA,Binance US,53645554,,13-10-2023 02:52:00
Withdrawal,0.0,,4960.489165,IOTA,1.182835,IOTA,Binance US,53645554,,13-10-2023 02:54:00
Deposit,485.0,USDT,0.0,,0.0,,Binance US,53645554,,14-10-2023 00:18:00
Trade,58.5,NEAR,58.968,USDT,0.351,NEAR,Binance US,53645554,,14-10-2023 00:21:00
Trade,421.7,NEAR,425.4953,USDT,2.5302,NEAR,Binance US,53645554,,14-10-2023 00:21:00
