Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,5.0,ETH,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: f73e7752-3b7b-4f0d-9ee7-da3cbd6819cc),06-10-2017 23:13:16
Withdrawal,0.0,,5.0,ETH,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 42cfa1e3-344c-4ba3-ba5f-a5dee3891b1c),12-10-2017 19:59:32
Deposit,4.74567922,ETH,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 7434eb10-9dd5-4a52-83fa-36af796e16f6),15-10-2017 16:47:59
Trade,0.048339441,BTC,0.80565735,ETH,0.0,,Coinbase Pro,default,"Trade (Trade ID: 1641117.0): Buy 0.04833944 BTC, Sell 0.80565735 ETH",15-10-2017 21:12:18
Trade,0.2364013122,BTC,3.94002187,ETH,0.0,,Coinbase Pro,default,"Trade (Trade ID: 1641121.0): Buy 0.23640131 BTC, Sell 3.94002187 ETH",15-10-2017 21:13:43
Withdrawal,0.0,,0.19235835,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 54a1ca0b-141e-4eb2-90a4-60c4cb24e241),16-10-2017 15:08:21
Deposit,1000.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 544bf26d-5493-4fdd-a19e-238737a2c11e),21-10-2017 14:50:41
Deposit,1500.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: b9c8140e-e27c-43a8-b99c-ea998502f55b),25-10-2017 16:55:50
Deposit,750.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 71bcc96a-81a9-497e-a212-46778278213c),25-10-2017 17:00:32
Trade,2.67,ETH,747.6,USD,0.0,,Coinbase Pro,default,"Trade (Trade ID: 13512144.0): Buy 2.67000000 ETH, Sell 747.60000000 USD",02-11-2017 01:29:27
Withdrawal,0.0,,2.67,ETH,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: d365b882-f05e-499d-aeea-c657aaeb0f68),02-11-2017 18:48:26
Withdrawal,0.0,,2.4,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 646be2d1-5c24-425a-ac8a-cfecbb021c7c),02-11-2017 18:48:44
Trade,0.1,LTC,5.315,USD,0.015945,USD,Coinbase Pro,default,"Trade (Trade ID: 9267142.0): Buy 0.10000000 LTC, Sell 5.31500000 USD, Fee 0.01594500 USD",02-11-2017 18:51:07
Trade,28.03760036,LTC,1490.198459134,USD,4.470595377402,USD,Coinbase Pro,default,"Trade (Trade ID: 9267143.0): Buy 28.03760036 LTC, Sell 1490.19845913 USD, Fee 4.47059538 USD",02-11-2017 18:51:07
Withdrawal,0.0,,28.13760036,LTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: ffaf4fec-d22a-4180-b239-03a19cb53a1d),02-11-2017 18:51:32
Withdrawal,0.0,,1000.0,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 8168ab3e-bffe-41ed-aceb-8e627df06bbd),25-11-2017 11:21:33
Deposit,5000.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 97db1a26-fc42-4e50-abc5-4ce6c40f10b3),03-12-2017 05:04:15
Withdrawal,0.0,,2000.0,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: ff66bfaf-d842-4893-95db-7193e19b9d2e),03-12-2017 05:21:56
Withdrawal,0.0,,0.0923824,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: bfd42615-5916-45e1-9df6-ae5d0d88e0f2),03-12-2017 05:47:43
Deposit,1800.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 1b402623-459a-4b58-8ccd-23e9e3ff6b7d),09-12-2017 18:01:49
Withdrawal,0.0,,800.0,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 98b2508e-5eb4-44a8-9990-cb38bfdb4a45),09-12-2017 18:08:30
Deposit,802.98,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 2df51e7a-54b2-4155-a76e-d8d891401a7e),09-12-2017 18:10:51
Trade,0.0579,BTC,810.6,USD,0.0,,Coinbase Pro,default,"Trade (Trade ID: 27324644.0): Buy 0.05790000 BTC, Sell 810.60000000 USD",10-12-2017 03:00:23
Withdrawal,0.0,,0.0579,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: e8a39168-080a-4ca4-8d40-5b3a32a7335c),10-12-2017 04:50:48
Withdrawal,0.0,,2042.38,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 5bfd3d7a-5f8b-4def-b17b-b791554d511b),13-12-2017 03:28:29
Deposit,0.0570551,BTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 6782431f-0a48-401d-a966-68150fdf10be),20-12-2017 04:46:44
Withdrawal,0.0,,0.0570551,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: adb49483-3786-45ab-b325-757490851b15),20-12-2017 06:02:16
Trade,0.011,BTC,183.33777,USD,0.458344425,USD,Coinbase Pro,default,"Trade (Trade ID: 29207628.0): Buy 0.01100000 BTC, Sell 183.33777000 USD, Fee 0.45834442 USD",20-12-2017 15:44:47
Trade,0.10566521,BTC,1761.7993690661,USD,4.40449842266525,USD,Coinbase Pro,default,"Trade (Trade ID: 29207629.0): Buy 0.10566521 BTC, Sell 1761.79936907 USD, Fee 4.40449842 USD",20-12-2017 15:44:47
Withdrawal,0.0,,0.11666521,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: abfaec1a-1ff0-46e7-bf40-398aefc716e5),20-12-2017 15:45:24
Deposit,1642.38,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: d17bde26-37fa-482b-afe6-183d820537a2),20-12-2017 15:45:58
Trade,0.1,BTC,1640.0,USD,0.0,,Coinbase Pro,default,"Trade (Trade ID: 29296551.0): Buy 0.10000000 BTC, Sell 1640.00000000 USD",21-12-2017 02:54:48
Deposit,0.11666521,BTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 7486897f-97b8-4d10-9a7e-dc0d03b73f1a),21-12-2017 03:12:06
Withdrawal,0.0,,0.21666521,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: c06ffc51-dd36-4b40-b16d-bc5628f01083),21-12-2017 03:14:02
Deposit,0.08128707,BTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 82a28d07-77c8-4f26-aaec-1d5215c178f8),23-12-2017 09:45:21
Withdrawal,0.0,,0.08128707,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 79239610-538b-4ee1-b320-66cf4458a899),23-12-2017 09:46:11
Deposit,0.16221,BTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 8bbd899a-c12a-4dba-a909-27a7e58b3549),09-01-2018 02:35:29
Withdrawal,0.0,,0.16221,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 514b8610-80e9-4faf-93fd-8a85f61e43e6),05-02-2018 17:01:17
Deposit,0.05,LTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: bea96e74-a8d8-4771-a3c1-d6b20122135a),27-02-2018 23:31:15
Deposit,9.90598001,LTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 9705245c-6dc0-4e00-a747-df92b06a5724),27-02-2018 23:41:50
Deposit,0.02633452,LTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 0acd04a2-1e75-4988-ad21-53f5c84a860a),09-03-2018 23:28:19
Deposit,24.97,LTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: c3b76fd7-2f33-4e32-b30d-3df109351a54),09-03-2018 23:44:55
Withdrawal,0.0,,0.04,LTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: a46a5f79-91e1-46ed-93d2-bbeb668f637b),11-03-2018 21:54:52
Withdrawal,0.0,,24.95633452,LTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 8346c482-e56b-410c-836c-3c9d52c44526),11-03-2018 22:02:38
Deposit,1500.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 806cd053-ea45-4aa9-ba18-c4bef94a5659),13-04-2018 17:15:21
Withdrawal,0.0,,0.5,LTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 7b3795e5-c09e-4e74-8b78-f0520be79c91),14-04-2018 18:12:13
Withdrawal,0.0,,9.45598001,LTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 5e080cd5-da10-45bb-80e1-c2e5dabf4ae5),14-04-2018 18:20:13
Trade,0.10479478,BTC,847.4575707474,USD,2.5423727122422,USD,Coinbase Pro,default,"Trade (Trade ID: 41838495.0): Buy 0.10479478 BTC, Sell 847.45757075 USD, Fee 2.54237271 USD",18-04-2018 14:44:33
Withdrawal,0.0,,652.38,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: dc80d9d7-366f-40ff-b7b7-fe2071b879e9),18-04-2018 14:45:17
Withdrawal,0.0,,0.10479478,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 3c7f4c5a-793b-40bb-83c4-15980315b25d),23-04-2018 22:42:07
Deposit,3.0,ETH,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: fc6329c1-d157-4a2f-82de-6b64246ce215),09-05-2018 02:44:47
Withdrawal,0.0,,1.0,ETH,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 586ef44a-80d4-49c4-a60d-71de5f08e679),10-05-2018 23:05:31
Deposit,1.0,ETH,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 01e6f5d9-a66d-4f3a-97ec-2fa24c54453a),19-05-2018 17:19:13
Withdrawal,0.0,,3.0,ETH,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: b41cf842-ee87-4a17-ab39-64b2461a6b7d),02-08-2018 20:54:24
Deposit,3000.0,USD,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: a4884242-08c0-4bfd-81ba-bc71b35fb491),03-12-2018 18:07:14
Trade,0.21621621,BTC,799.999977,USD,0.0,,Coinbase Pro,default,"Trade (Trade ID: 55383865.0): Buy 0.21621621 BTC, Sell 799.99997700 USD",05-12-2018 16:54:56
Withdrawal,0.0,,0.21621621,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 15136e7f-6982-4414-bbe9-788b9616f822),09-12-2018 04:02:49
Trade,0.00240357,BTC,8.1745175343,USD,0.0245235526029,USD,Coinbase Pro,default,"Trade (Trade ID: 55655328.0): Buy 0.00240357 BTC, Sell 8.17451753 USD, Fee 0.02452355 USD",09-12-2018 04:05:23
Trade,0.001,BTC,3.40153,USD,0.01020459,USD,Coinbase Pro,default,"Trade (Trade ID: 55655331.0): Buy 0.00100000 BTC, Sell 3.40153000 USD, Fee 0.01020459 USD",09-12-2018 04:05:24
Trade,0.001,BTC,3.40112,USD,0.01020336,USD,Coinbase Pro,default,"Trade (Trade ID: 55655330.0): Buy 0.00100000 BTC, Sell 3.40112000 USD, Fee 0.01020336 USD",09-12-2018 04:05:24
Trade,0.06800395,BTC,231.28143395,USD,0.69384430185,USD,Coinbase Pro,default,"Trade (Trade ID: 55655329.0): Buy 0.06800395 BTC, Sell 231.28143395 USD, Fee 0.69384430 USD",09-12-2018 04:05:24
Trade,0.16208554,BTC,551.3485520086,USD,1.6540456560258,USD,Coinbase Pro,default,"Trade (Trade ID: 55655332.0): Buy 0.16208554 BTC, Sell 551.34855201 USD, Fee 1.65404566 USD",09-12-2018 04:05:24
Withdrawal,0.0,,0.23449306,BTC,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 6eb86ecf-af38-467c-94f9-046bc216fc2d),09-12-2018 04:07:15
Withdrawal,0.0,,1400.0,USD,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: dff00f75-5cf3-466b-91d3-48ac7849631d),28-12-2018 15:35:15
Deposit,0.305,BTC,0.0,,0.0,,Coinbase Pro,default,Deposit (Transfer ID: 057277de-146e-4f06-bbd6-504baeaca33a),25-06-2020 21:37:32
Trade,5.80627689,ETH,0.1457956127079,BTC,0.0007289780635395,BTC,Coinbase Pro,default,"Trade (Trade ID: 9733257.0): Buy 5.80627689 ETH, Sell 0.14579561 BTC, Fee 0.00072898 BTC",26-06-2020 00:25:16
Trade,6.27984736,ETH,0.1576869672096,BTC,0.000788434836048,BTC,Coinbase Pro,default,"Trade (Trade ID: 9733256.0): Buy 6.27984736 ETH, Sell 0.15768697 BTC, Fee 0.00078843 BTC",26-06-2020 00:25:16
Trade,50.0,LINK,1.0257245,ETH,0.0051286225,ETH,Coinbase Pro,default,"Trade (Trade ID: 420146.0): Buy 50.00000000 LINK, Sell 1.02572450 ETH, Fee 0.00512862 ETH",26-06-2020 15:29:06
Trade,338.02,LINK,6.9343180504,ETH,0.034671590252,ETH,Coinbase Pro,default,"Trade (Trade ID: 420147.0): Buy 338.02000000 LINK, Sell 6.93431805 ETH, Fee 0.03467159 ETH",26-06-2020 15:29:06
Trade,3558.0,BAT,4.0653708,ETH,0.020326854,ETH,Coinbase Pro,default,"Trade (Trade ID: 276644.0): Buy 3558.00000000 BAT, Sell 4.06537080 ETH, Fee 0.02032685 ETH",26-06-2020 20:05:16
Withdrawal,0.0,,1.0,LINK,0.0,,Coinbase Pro,default,Withdrawal (Transfer ID: 597856ba-22b4-4a7f-ad4f-b70cd8c24e2a),26-06-2020 20:16:09
