Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,42.08890002,SUI,0.0,,0.0,,Koinly,,,14-11-2023 16:10:11
Deposit,5.049229992,SUI,0.0,,0.0,,Koinly,,,14-11-2023 16:23:44
Deposit,84.445195068,SUI,0.0,,0.0,,Koinly,,,14-11-2023 16:26:11
Deposit,954.383941425,SUI,0.0,,0.0,,Koinly,,,14-11-2023 16:27:16
Trade,132.790571,USDCET,224.999982584,SUI,0.0,,Koinly,SUI,,14-11-2023 16:31:33
Trade,398.248883,USDCET,675.002916944,SUI,0.0,,Koinly,SUI,,14-11-2023 16:32:05
Trade,92.442197,USDT,160.0038384,SUI,0.0,,Koinly,SUI,,14-11-2023 16:33:17
Withdrawal,0.0,,92.0,USDT,0.0,,Koinly,SUI,,14-11-2023 16:34:05
Withdrawal,0.0,,518.977921,USDCET,0.0,,Koinly,SUI,,14-11-2023 16:34:05
Withdrawal,0.0,,0.017718628,SUI,0.0,,Koinly,SUI,,14-11-2023 16:34:05
Withdrawal,0.0,,0.000774244,SUI,0.0,,Koinly,SUI,,14-11-2023 16:46:48
Withdrawal,0.0,,25.009649828,SUI,0.0,,Koinly,SUI,,14-11-2023 16:47:12
Deposit,3.185474237,SUI,0.0,,0.0,,Koinly,,,04-12-2023 04:05:15
Deposit,427.225856895,SUI,0.0,,0.0,,Koinly,,,04-12-2023 04:39:44
Withdrawal,0.0,,431.007703468,SUI,0.0,,Koinly,SUI,,04-12-2023 04:42:47
Deposit,0.085837,USDCET,0.0,,0.0,,Koinly,,,05-12-2023 04:44:55
Withdrawal,0.0,,0.004340576,SUI,0.0,,Koinly,SUI,,05-12-2023 04:44:55
Deposit,0.079384,USDT,0.0,,0.0,,Koinly,,,05-12-2023 04:44:55
Deposit,13.667810231,SUI,0.0,,0.0,,Koinly,,,05-12-2023 04:45:05
Deposit,610.994936,USDCET,0.0,,0.0,,Koinly,,,05-12-2023 04:45:31
Deposit,0.00135468,SUI,0.0,,0.0,,Koinly,,,05-12-2023 04:45:31
Deposit,25.042962352,SUI,0.0,,0.0,,Koinly,,,05-12-2023 04:46:32
