Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Trade,0.36,SHIDO,0.002928636,USDT,0.0,USDT,MEXC,,Taker,08-02-2024 12:39:37
Trade,1216.91,SHIDO,9.998984397,USDT,0.0,USDT,MEXC,,Taker,08-02-2024 12:39:37
Trade,10952.89,SHIDO,89.995515974,USDT,0.0,USDT,MEXC,,Taker,08-02-2024 12:39:37
Trade,0.03,SHIDO,0.000243306,USDT,0.0,USDT,MEXC,,Taker,08-02-2024 12:39:37
Trade,0.28,SHIDO,0.002300676,USDT,0.0,USDT,MEXC,,Taker,08-02-2024 12:39:37
Trade,234759.56,SHIDO,1859.99999388,USDT,0.0,USDT,MEXC,,Maker,09-02-2024 07:53:14
Trade,63.55,DAO,64.13466,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,93.84,DAO,97.246392,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,171.35,DAO,176.953145,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,137.11,DAO,138.823875,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,29.26,DAO,29.652084,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,231.43,DAO,239.391192,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,1642.39,DAO,1664.562265,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,183.68,DAO,189.576128,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,24.51,DAO,25.002651,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,29.26,DAO,29.622824,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,356.17,DAO,368.030461,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:28:07
Trade,443.96,HELLO,43.5791136,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:29:01
Trade,7710.57,HELLO,757.949031,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:29:01
Trade,990.0,HELLO,97.2873,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:29:01
Trade,2356.66,HELLO,231.6125448,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:29:01
Trade,963.34,HELLO,94.5710878,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:29:01
Trade,21720.18,ATLAS,101.71560294,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,1500.0,ATLAS,6.9645,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,3217.5,ATLAS,14.999985,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,42099.65,ATLAS,196.5211662,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,21310.6,ATLAS,99.4565702,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,3812.74,ATLAS,17.76355566,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,3205.81,ATLAS,14.99998499,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,16005.12,ATLAS,74.5838592,USDT,0.0,USDT,MEXC,,Taker,13-02-2024 23:31:36
Trade,2330.17,VRTX,586.037755,USDT,0.0,USDT,MEXC,,Taker,14-02-2024 23:16:46
Trade,401.48,VRTX,101.052516,USDT,0.0,USDT,MEXC,,Taker,14-02-2024 23:16:46
Trade,663.7,VRTX,167.05329,USDT,0.0,USDT,MEXC,,Taker,14-02-2024 23:16:46
Trade,679.61,VRTX,170.853954,USDT,0.0,USDT,MEXC,,Taker,14-02-2024 23:16:46
Trade,573166.55,LEVER,999.6024632,USDT,0.0,USDT,MEXC,,Taker,15-02-2024 00:11:46
Trade,11670.51,LEVER,20.40005148,USDT,0.0,USDT,MEXC,,Taker,15-02-2024 00:17:19
Trade,230.78,HELLO,19.9763168,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,230.92,HELLO,19.9884352,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,2102.38,HELLO,182.0030366,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,577.0,HELLO,49.94512,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,577.0,HELLO,49.94512,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,462.1,HELLO,39.999376,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,898.23,HELLO,77.7507888,USDT,0.0,USDT,MEXC,,Taker,18-02-2024 22:27:38
Trade,275.0,XDC,11.56375,USDT,0.0,USDT,MEXC,,Maker,20-02-2024 21:36:41
Trade,1492.86,XDC,62.774763,USDT,0.0,USDT,MEXC,,Maker,20-02-2024 21:36:41
Trade,421.85,XDC,17.726137,USDT,0.0,USDT,MEXC,,Taker,20-02-2024 21:36:41
Trade,2222.88,XDC,93.4054176,USDT,0.0,USDT,MEXC,,Taker,20-02-2024 21:36:41
Trade,616.04,XDC,25.904482,USDT,0.0,USDT,MEXC,,Maker,20-02-2024 21:36:41
