Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,0.042896,BTC,0.0,,0.0,-,Nexo,,approved / 9e88c39117842167ff446b47df9cb3443b20a601e797870ec9678aeb8896a1b1,25-05-2021 00:27:16
Deposit,0.82544,ETH,0.0,,0.0,-,Nexo,,approved / 0x5088ec815d5d97cc0f6f5bcf6103bb38aacc974b61f3dcac344a86e9ac52dea6,25-05-2021 00:33:22
Trade,-1000.0,USD,1000.0,USD,0.0,-,Nexo,,approved / Lori West,25-05-2021 12:08:08
Withdrawal,0.0,,0.17029086,ETH,0.0,-,Nexo,,approved / Transfer from Savings Wallet to Credit Line Wallet,25-05-2021 12:08:08
Withdrawal,0.0,,0.042896,BTC,0.0,-,Nexo,,approved / Transfer from Savings Wallet to Credit Line Wallet,25-05-2021 12:08:08
Interest Income,7.04e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,26-05-2021 23:00:03
Interest Income,7.04e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,27-05-2021 23:00:03
Interest Income,7.041e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,28-05-2021 23:00:03
Interest Income,7.042e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,29-05-2021 23:00:02
Interest Income,7.043e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,30-05-2021 23:00:03
Interest Income,7.044e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,31-05-2021 23:00:03
Interest Income,7.044e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,01-06-2021 23:00:03
Interest Income,7.045e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,02-06-2021 23:00:03
Interest Income,7.046e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,03-06-2021 23:00:03
Interest Income,7.047e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,04-06-2021 23:00:02
Interest Income,7.047e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,05-06-2021 23:00:03
Interest Income,7.048e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,06-06-2021 23:00:03
Interest Income,7.049e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,07-06-2021 23:00:02
Interest Income,7.05e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,08-06-2021 23:00:02
Interest Income,7.05e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,09-06-2021 23:00:02
Deposit,0.02290546,BTC,0.0,,0.0,-,Nexo,,approved / 21154098f461c1bf160cc037ca1dfe525164f655471ea9698fa5f0880ef98676,10-06-2021 15:22:16
Withdrawal,0.0,,0.14339508,ETH,0.0,-,Nexo,,approved / Transfer from Savings Wallet to Credit Line Wallet,10-06-2021 16:23:13
Trade,-600.0666,USD,600.0,USDC,0.0,-,Nexo,,approved / Lori West,10-06-2021 16:23:13
Withdrawal,0.0,,0.02290546,BTC,0.0,-,Nexo,,approved / Transfer from Savings Wallet to Credit Line Wallet,10-06-2021 16:23:13
Deposit,600.0,USDC,0.0,,0.0,-,Nexo,,approved,10-06-2021 16:23:37
Withdrawal,0.0,,600.0,USDC,0.0,-,Nexo,,approved / USDC withdrawal,10-06-2021 16:26:44
Interest Income,5.51e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,10-06-2021 23:00:02
Interest Income,5.511e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,11-06-2021 23:00:02
Interest Income,5.511e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,12-06-2021 23:00:03
Interest Income,5.512e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,13-06-2021 23:00:03
Interest Income,5.513e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,14-06-2021 23:00:02
Interest Income,5.513e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,15-06-2021 23:00:03
Interest Income,5.514e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,16-06-2021 23:00:02
Interest Income,5.514e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,17-06-2021 23:00:03
Interest Income,5.515e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,18-06-2021 23:00:02
Interest Income,5.515e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,19-06-2021 23:00:03
Interest Income,5.516e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,20-06-2021 23:00:02
Interest Income,5.517e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,21-06-2021 23:00:02
Interest Income,5.517e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,22-06-2021 23:00:03
Interest Income,5.518e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,23-06-2021 23:00:03
Interest Income,5.518e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,24-06-2021 23:00:03
Interest Income,5.519e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,25-06-2021 23:00:03
Interest Income,5.52e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,26-06-2021 23:00:03
Interest Income,5.52e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,27-06-2021 23:00:03
Interest Income,5.521e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,28-06-2021 23:00:03
Interest Income,5.521e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,29-06-2021 23:00:03
Interest Income,5.522e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,30-06-2021 23:00:03
Interest Income,5.523e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,01-07-2021 23:00:04
Interest Income,5.523e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,02-07-2021 23:00:03
Interest Income,5.524e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,03-07-2021 23:00:03
Interest Income,5.524e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,04-07-2021 23:00:04
Interest Income,5.525e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,05-07-2021 23:00:03
Interest Income,5.526e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,06-07-2021 23:00:03
Interest Income,5.526e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,07-07-2021 23:00:03
Interest Income,5.527e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,08-07-2021 23:00:03
Interest Income,5.527e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,09-07-2021 23:00:03
Interest Income,5.528e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,10-07-2021 23:00:03
Interest Income,5.529e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,11-07-2021 23:00:03
Interest Income,5.529e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,12-07-2021 23:00:03
Interest Income,5.53e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,13-07-2021 23:00:03
Interest Income,5.53e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,14-07-2021 23:00:03
Interest Income,5.531e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,15-07-2021 23:00:04
Interest Income,5.532e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,16-07-2021 23:00:04
Interest Income,5.532e-05,ETH,0.0,,0.0,-,Nexo,,approved / ETH Interest Earned,17-07-2021 23:00:03
