Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2HkuLfi9x0ABDaTsZm5NfE,Withdrawal,DOT,-6.81430000,DOT,6.81430000,$28.96,-,-,"approved / DOT withdrawal",2025-04-28 09:28:21
NXT2BKdKXRmPIsMpv6yvlCUmA,Withdrawal,BNB,-0.10340000,BNB,0.10330340,$62.73,0.00009660,BNB,"approved / BNB withdrawal",2025-04-28 09:26:14
NXT5W7n9apd55CxiJVPpeEMn3,Withdrawal,XRP,-114.32640000,XRP,114.32640000,$266.35,-,-,"approved / XRP withdrawal",2025-04-28 09:24:38
NXT3jpV5KeUfst3wVkesp8trN,Withdrawal,ADA,-480.89130000,ADA,480.89130000,$347.37,-,-,"approved / ADA withdrawal",2025-04-28 09:22:57
NXT2EaeCJGWtyhRWVF65n0nhC,Withdrawal,ETH,-1.87651385,ETH,1.87651385,$3398.30,-,-,"approved / ETH withdrawal",2025-04-28 09:20:27
NXT2ulrsHXlggbcKYi1MeN1yB,Withdrawal,BTC,-0.09812392,BTC,0.09801889,$9298.14,0.00010502,BTC,"approved / BTC withdrawal",2025-04-28 09:18:08
NXT3qw6xLUdsrTpMnPvdlduBS,Transfer In,ADA,480.89130000,ADA,480.89130000,$332.45,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:39:39
NXT3F66oISWshox7BAoBWwYL0,Transfer In,DOT,6.81430000,DOT,6.81430000,$27.72,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:38:40
NXT6BvZYe3AEjmnIHOvkxkgg9,Transfer In,BNB,0.10340000,BNB,0.10340000,$62.27,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:38:06
NXTIu3DDBmUOF9LGJT38g7jq,Transfer In,XRP,114.32640000,XRP,114.32640000,$255.62,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:37:17
NXT5pbEA0BH88Rf7iIVJ5SrZH,Transfer In,ETH,1.13422214,ETH,1.13422214,$2008.45,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:36:36
NXT1MyzTNy19EboeUbsubNnsH,Transfer In,BTC,0.09812392,BTC,0.09812392,$9175.31,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2025-04-28 02:35:39
