Type,Buy,Cur.,Sell,Cur..1,Fee,Cur..2,Exchange,Group,Comment,Date
Deposit,3.674127,TIA,0.0,,0.0,,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,https://www.mintscan.io/celestia/tx/0E32086C31A9AF842B5F4D98B44A8D47F017BD45F31C3ECC6A17D2A615F11656,08-11-2023 21:56:34
Deposit,14.585775,TIA,0.0,,0.0,,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,https://www.mintscan.io/celestia/tx/986AD923894483DA9FAB1FCB4D78E3E5E2EC283B5830C440377049E8A98488AD,08-11-2023 22:04:43
Deposit,5.505308,TIA,0.0,,0.0,,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,https://www.mintscan.io/celestia/tx/FBFD9181EDAD65B561A745A64DA150C4908F75DB1A55767F078CA9EE4B829B7E,08-11-2023 22:09:28
Deposit,31.968666,TIA,0.0,,0.0,,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,https://www.mintscan.io/celestia/tx/A6309CEF9997353419523378D0AD42DE812312E82B4C60547A9F5E48FBCE2B78,08-11-2023 22:31:09
Deposit,50.0,TIA,0.0,,0.0,,tia_staking,,STAKING     https://www.mintscan.io/celestia/tx/4779B71E3C89CFBC9C9225C8667A1E8E8984A208658F1F7F04FBF7E00939E286,08-11-2023 22:34:02
Withdrawal,0.0,,50.0,TIA,0.018639,TIA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,STAKING     https://www.mintscan.io/celestia/tx/4779B71E3C89CFBC9C9225C8667A1E8E8984A208658F1F7F04FBF7E00939E286,08-11-2023 22:34:02
Deposit,1.0,TIA,0.0,,0.0,,tia_staking,,STAKING     https://www.mintscan.io/celestia/tx/453F1BBF03BC8F737570F5A285906A5D5629F2F14CF6037CC687E9E97CA9CB61,08-11-2023 22:34:49
Withdrawal,0.0,,1.0,TIA,0.016745,TIA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,STAKING     https://www.mintscan.io/celestia/tx/453F1BBF03BC8F737570F5A285906A5D5629F2F14CF6037CC687E9E97CA9CB61,08-11-2023 22:34:49
Withdrawal,0.0,,1.0,TIA,0.037286,TIA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,STAKING     https://www.mintscan.io/celestia/tx/33F3396581379691F88C196888323CDDCC66F471B64FF684CB03EFAD265EBBD3,08-11-2023 22:35:25
Deposit,1.0,TIA,0.0,,0.0,,tia_staking,,STAKING     https://www.mintscan.io/celestia/tx/33F3396581379691F88C196888323CDDCC66F471B64FF684CB03EFAD265EBBD3,08-11-2023 22:35:25
Withdrawal,0.0,,1.0,TIA,0.018126,TIA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,STAKING     https://www.mintscan.io/celestia/tx/E463533638FDEFC853C544D9FB7661C59BD1BBF723C0296BFDEFA3CC2B3CA70B,08-11-2023 22:36:48
Deposit,1.0,TIA,0.0,,0.0,,tia_staking,,STAKING     https://www.mintscan.io/celestia/tx/E463533638FDEFC853C544D9FB7661C59BD1BBF723C0296BFDEFA3CC2B3CA70B,08-11-2023 22:36:48
Deposit,1.0,TIA,0.0,,0.045,TIA,tia_blockchain,celestia1c425ckmve2489atttx022qpc02gxspa29wmh0d,UNSTAKING     https://www.mintscan.io/celestia/tx/E6BDB8F07B24345E8FFAC66E7BD5710F96E39E13D48A3F265ED11F3BF62A60F8,09-11-2023 22:14:07
Withdrawal,0.0,,1.0,TIA,0.0,,tia_staking,,UNSTAKING     https://www.mintscan.io/celestia/tx/E6BDB8F07B24345E8FFAC66E7BD5710F96E39E13D48A3F265ED11F3BF62A60F8,09-11-2023 22:14:07
Withdrawal,0.0,,1.0,TIA,0.0,,tia_blockchain,,STAKING     https://www.mintscan.io/celestia/tx/512A7C4BB2BA25BBAB2ADA9EBC6B8C04C76F5A63B0670B589FD851FD1ED6746A,10-11-2023 00:28:43
